parent_id,child_level,next_serial
823974a6-2410-48d9-80e7-ddf10b4394f1,AM,7
823974a6-2410-48d9-80e7-ddf10b4394f1,AL,6
0e63fbd6-0261-4bb2-ad84-f67628cf9895,AH,1
ab99dfd3-571e-414c-911b-d979f9698620,AA,1
823974a6-2410-48d9-80e7-ddf10b4394f1,AJ,4
823974a6-2410-48d9-80e7-ddf10b4394f1,AK,5
b03c130b-b19d-40a5-ade1-8084e58dfa76,AD,3
00000000-0000-0000-0000-0000000000b1,AC,1
61338156-3b0a-4c16-95d1-48ec7bd6c7b6,AB,1
fdff03e7-4555-45a1-9932-80f98e0022f7,AC,2
96a66ffe-3ab6-4421-b428-a518da454b7b,AE,2
00000000-0000-0000-0000-0000000000a1,AB,1
d468998e-8106-492a-8326-22540aeb768c,AB,38000
7e5c63b5-febb-4880-9c0d-a7c3384731c1,AE,46658
