id,name,hash,executed_at
0,create-migrations-table,e18db593bcde2aca2a408c4d1100f6abba2195df,2025-07-01 09:31:58.423512
1,initialmigration,6ab16121fbaa08bbd11b712d05f358f9b555d777,2025-07-01 09:31:58.427486
2,storage-schema,5c7968fd083fcea04050c1b7f6253c9771b99011,2025-07-01 09:31:58.429757
3,pathtoken-column,2cb1b0004b817b29d5b0a971af16bafeede4b70d,2025-07-01 09:31:58.441678
4,add-migrations-rls,427c5b63fe1c5937495d9c635c263ee7a5905058,2025-07-01 09:31:58.448377
5,add-size-functions,79e081a1455b63666c1294a440f8ad4b1e6a7f84,2025-07-01 09:31:58.450861
6,change-column-name-in-get-size,f93f62afdf6613ee5e7e815b30d02dc990201044,2025-07-01 09:31:58.454613
7,add-rls-to-buckets,e7e7f86adbc51049f341dfe8d30256c1abca17aa,2025-07-01 09:31:58.457112
8,add-public-to-buckets,fd670db39ed65f9d08b01db09d6202503ca2bab3,2025-07-01 09:31:58.459484
9,fix-search-function,3a0af29f42e35a4d101c259ed955b67e1bee6825,2025-07-01 09:31:58.462195
10,search-files-search-function,68dc14822daad0ffac3746a502234f486182ef6e,2025-07-01 09:31:58.465767
11,add-trigger-to-auto-update-updated_at-column,7425bdb14366d1739fa8a18c83100636d74dcaa2,2025-07-01 09:31:58.468581
12,add-automatic-avif-detection-flag,8e92e1266eb29518b6a4c5313ab8f29dd0d08df9,2025-07-01 09:31:58.472033
13,add-bucket-custom-limits,cce962054138135cd9a8c4bcd531598684b25e7d,2025-07-01 09:31:58.474555
14,use-bytes-for-max-size,941c41b346f9802b411f06f30e972ad4744dad27,2025-07-01 09:31:58.477517
15,add-can-insert-object-function,934146bc38ead475f4ef4b555c524ee5d66799e5,2025-07-01 09:31:58.491169
16,add-version,76debf38d3fd07dcfc747ca49096457d95b1221b,2025-07-01 09:31:58.493889
17,drop-owner-foreign-key,f1cbb288f1b7a4c1eb8c38504b80ae2a0153d101,2025-07-01 09:31:58.496393
18,add_owner_id_column_deprecate_owner,e7a511b379110b08e2f214be852c35414749fe66,2025-07-01 09:31:58.499414
19,alter-default-value-objects-id,02e5e22a78626187e00d173dc45f58fa66a4f043,2025-07-01 09:31:58.504093
20,list-objects-with-delimiter,cd694ae708e51ba82bf012bba00caf4f3b6393b7,2025-07-01 09:31:58.506834
21,s3-multipart-uploads,8c804d4a566c40cd1e4cc5b3725a664a9303657f,2025-07-01 09:31:58.511803
22,s3-multipart-uploads-big-ints,9737dc258d2397953c9953d9b86920b8be0cdb73,2025-07-01 09:31:58.522054
23,optimize-search-function,9d7e604cddc4b56a5422dc68c9313f4a1b6f132c,2025-07-01 09:31:58.5309
24,operation-function,8312e37c2bf9e76bbe841aa5fda889206d2bf8aa,2025-07-01 09:31:58.533933
25,custom-metadata,d974c6057c3db1c1f847afa0e291e6165693b990,2025-07-01 09:31:58.537679
26,objects-prefixes,ef3f7871121cdc47a65308e6702519e853422ae2,2025-08-26 17:02:55.680974
27,search-v2,33b8f2a7ae53105f028e13e9fcda9dc4f356b4a2,2025-08-26 17:02:55.982153
28,object-bucket-name-sorting,ba85ec41b62c6a30a3f136788227ee47f311c436,2025-08-26 17:02:56.276192
29,create-prefixes,a7b1a22c0dc3ab630e3055bfec7ce7d2045c5b7b,2025-08-26 17:02:56.482526
30,update-object-levels,6c6f6cc9430d570f26284a24cf7b210599032db7,2025-08-26 17:02:56.490536
31,objects-level-index,33f1fef7ec7fea08bb892222f4f0f5d79bab5eb8,2025-08-26 17:02:56.596727
32,backward-compatible-index-on-objects,2d51eeb437a96868b36fcdfb1ddefdf13bef1647,2025-08-26 17:02:56.779858
33,backward-compatible-index-on-prefixes,fe473390e1b8c407434c0e470655945b110507bf,2025-08-26 17:02:56.886823
34,optimize-search-function-v1,82b0e469a00e8ebce495e29bfa70a0797f7ebd2c,2025-08-26 17:02:56.888791
35,add-insert-trigger-prefixes,63bb9fd05deb3dc5e9fa66c83e82b152f0caf589,2025-08-26 17:02:56.987151
36,optimise-existing-functions,81cf92eb0c36612865a18016a38496c530443899,2025-08-26 17:02:57.083465
37,add-bucket-name-length-trigger,3944135b4e3e8b22d6d4cbb568fe3b0b51df15c1,2025-08-26 17:02:57.281385
38,iceberg-catalog-flag-on-buckets,19a8bd89d5dfa69af7f222a46c726b7c41e462c5,2025-08-26 17:02:57.391375
